metier;personnalite
Poseur de revêtements souples;Réaliste
Préposé à l’entretien des parcs;Réaliste
Rembourreur artisan;Réaliste
Rembourreur industriel;Réaliste
Réparateur de caisses enregistreuses électroniques;Réaliste
Restaurateur de meubles;Réaliste
Serrurier;Réaliste
Spécialiste de l’information de vol;Réaliste
Technicien en aménagement du territoire;Réaliste
Technicien en radiotélédiffusion;Réaliste
Technologue en architecture;Réaliste
Technologue en génie civil;Réaliste
Technologue en protection de l’environnement;Réaliste
Vitrier;Réaliste
Artisan tisserand;Réaliste
Maroquinier;Réaliste
Denturologiste;Réaliste
Technologue en orthèses et prothèses;Réaliste
Agent de train;Réaliste
Agent de services correctionnels;Réaliste
Aide-chauffeur de camion;Réaliste
Aide-déménageur;Réaliste
Aide-livreur;Réaliste
Boucher;Réaliste
Capitaine de bateau de pêche;Réaliste
Charcutier;Réaliste
Chauffeur d’autobus;Réaliste
Chauffeur de limousine;Réaliste
Chauffeur de taxi;Réaliste
Chauffeur de véhicules de déneigement;Réaliste
Chef de train;Réaliste
Concierge;Réaliste
Forgeron;Réaliste
Laveur de vitres;Réaliste
Mécanicien de locomotives;Réaliste
Monteur d’installations de protection contre les incendies;Réaliste
Préparateur d’aliments;Réaliste
Préposé à l’entretien général d’immeubles;Réaliste
Préposé à l’entretien ménager;Réaliste
Préposé à la restauration rapide;Réaliste
Préposé au club de santé;Réaliste
Serveur au comptoir (cafétéria);Réaliste
Assistant technique de collecte de sang;Réaliste
Commis au recouvrement;Réaliste
Enquêteur au recouvrement;Réaliste
Placier;Réaliste
Portier;Réaliste
Préposé à l’équipement de sport;Réaliste
Préposé au lavage des voitures;Réaliste
Préposé au terrain de golf;Réaliste
Acériculteur;Réaliste
Apiculteur;Réaliste
Aviculteur(élevage de poules);Réaliste
Commandant de navire;Réaliste
Eleveur de chiens;Réaliste
Exploitant agricole;Réaliste
Exploitant de ferme laitière;Réaliste
Gréeur;Réaliste
Officier de garde côtière;Réaliste
Pilote de navire;Réaliste
Pomiculteur;Réaliste
Producteur d’ovins (béliers, brebis, agneaux);Réaliste
Producteur de bovins;Réaliste
Producteur de fruits;Réaliste
Producteur de gazon;Réaliste
Producteur de légumes;Réaliste
Producteur de tabac;Réaliste
Réparateur de voies ferrées;Réaliste
Aquiculteur (élevage de poissons);Réaliste
Bagagiste;Réaliste
Brigadier scolaire;Réaliste
Chasseur d’hôtel;Réaliste
Conducteur de voitures blindée;Réaliste
Fantassin;Réaliste
Gardien de sécurité;Réaliste
Guide de chasse et pêche;Réaliste
Inspecteur de la prévention des incendies;Réaliste
Pêcheur;Réaliste
Pompier;Réaliste
Spécialise des communications navales;Réaliste
Technicien d’armement;Réaliste
Dresseur de chien;Réaliste
Gardien de jardin zoologique;Réaliste
Préposé aux soins des animaux;Réaliste
Préposé de salon funéraire;Réaliste
Affuteur d’outils de machines à bois;Réaliste
Aide d’atelier d’usinage;Réaliste
Aide-boucher;Réaliste
Aide-boulanger;Réaliste
Aide-menuisier d’atelier;Réaliste
Aide-soudeur;Réaliste
Arpenteur-géomètre;Réaliste
Calorifugeur;Réaliste
Charpentier-menuisier;Réaliste
Chocolatier;Réaliste
Conducteur de chariots élévateurs;Réaliste
Conducteur de machines industrielles;Réaliste
Déménageur;Réaliste
Éboueur;Réaliste
Emballeur;Réaliste
Finisseur-retoucheur de meubles;Réaliste
Fromager;Réaliste
Géomaticien;Réaliste
Machiniste de plateau;Réaliste
Maître brasseur;Réaliste
Manœuvre à l’entretien des travaux publics;Réaliste
Manœuvre à la fabrication du plastique;Réaliste
Manœuvre dans une cour à bois;Réaliste
Manœuvre de scierie;Réaliste
Manœuvre en industrie pharmaceutique;Réaliste
Manœuvre en ferblanterie;Réaliste
Manutentionnaire;Réaliste
Opérateur d’usine de traitement des eaux;Réaliste
Opérateur de scie principale;Réaliste
Ouvrier d’entretien de machines à mouler le verre;Réaliste
Ouvrier en pavage;Réaliste
Peintre en bâtiment;Réaliste
Préposé à la stérilisation;Réaliste
Régleur-conducteur de machine à bois;Réaliste
Réparateur-affûteur de scies;Réaliste
Sableur au jet;Réaliste
Scieur de planches;Réaliste
Menuisier d’atelier de bois ouvré;Réaliste
Aide-cuisinier;Réaliste
Aide-traiteur;Réaliste
Briqueteur-maçon;Réaliste
Carreleur;Réaliste
Cimentier-applicateur;Réaliste
Couturier;Réaliste
Dynamiteur;Réaliste
Facteur;Réaliste
Livreur de journaux;Réaliste
Matelot;Réaliste
Nettoyeur d’édifice à bureaux;Réaliste
Plâtrier;Réaliste
Poseur de systèmes intérieurs;Réaliste
Préposé à l’entretien des chambres;Réaliste
Préposé à l’entretien ménager (centre hospitalier);Réaliste
Préposé aux tables;Réaliste
Tailleur en confection;Réaliste
Boucher d’abattoir;Réaliste
Chauffeur de camion;Réaliste
Commis au courrier;Réaliste
Conducteur de camion lourd hors route;Réaliste
Débardeur;Réaliste
Foreur;Réaliste
Grutier;Réaliste
Mineur;Réaliste
Opérateur de machinerie lourde en voirie forestière;Réaliste
Opérateur de machinerie lourde de construction;Réaliste
Opérateur de pelle mécanique;Réaliste
Préposé au transport des matières dangereuses;Réaliste
Chanteur de concert;Social/e
Chanteur populaire;Social/e
Choriste;Social/e
Musicologue;Social/e
Professeur d’art dramatique (collège ou université);Social/e
Professeur d’arts plastiques;Social/e
Professeur de chant;Social/e
Professeur de danse;Social/e
Directeur de la publicité;Social/e
Interprète;Social/e
Rédacteur publicitaire;Social/e
Maquilleur-coiffeur;Social/e
Acrobate;Social/e
Assistant à la réalisation;Social/e
Cadreur;Social/e
Clown;Social/e
Contorsionniste;Social/e
Directeur artistique;Social/e
Directeur de la distribution;Social/e
Directeur de la photographie;Social/e
Directeur de production multimédia;Social/e
Échassier;Social/e
Équilibriste;Social/e
Jongleur;Social/e
Magicien;Social/e
Technicien de production (télévision);Social/e
Trapéziste;Social/e
Concepteur-designer d’expositions;Social/e
Décorateur-étalagiste;Social/e
Metteur en scène de théâtre;Social/e
Producteur audio en multimédia;Social/e
Réalisateur (cinéma, radio, télévision);Social/e
Technicien en design de présentation;Social/e
Chorégraphe;Social/e
Mannequin;Social/e
Marionnettiste;Social/e
Chargé de programmation (radio, télévision);Social/e
Directeur de production (cinéma, télévision);Social/e
Directeur technique de productions artistiques;Social/e
Discothécaire (radiotélédiffusion);Social/e
Producteur (cinéma, radio, télévision, théâtre);Social/e
Régisseur;Social/e
Adjoint médical;Social/e
Formateur en entreprise;Social/e
Formateur en tourisme;Social/e
Naturopathe;Social/e
Physiothérapeute;Social/e
Podiatre;Social/e
Professeur d’enseignement général au cégep;Social/e
Professeur d’enseignement professionnel au secondaire;Social/e
Professeur de langues modernes;Social/e
Professeur en formation technique au collégial;Social/e
Technicien ambulancier;Social/e
Thérapeute en réadaptation physique;Social/e
Thérapeute sportif;Social/e
Andragogue;Social/e
Bibliothécaire;Social/e
Documentaliste de bibliothèque;Social/e
Éducateur physique en réadaptation;Social/e
Enseignant aux adultes;Social/e
Infirmier;Social/e
Infirmier de service téléphonique;Social/e
Infirmer en chirurgie;Social/e
Infirmier en santé au travail;Social/e
Infirmier psychiatrique;Social/e
Infirmier scolaire;Social/e
Médiateur familial;Social/e
Officier des soins infirmiers;Social/e
Professeur au secondaire;Social/e
Professeur d’éducation physique;Social/e
Travailleur Social/e;Social/e
Travailleur Social/e en service collectif;Social/e
Moniteur de conduite automobile;Social/e
Moniteur de conduite de motocyclette;Social/e
Agent de libération conditionnelle;Social/e
Agent de probation;Social/e
Coordonnateur de loisirs municipaux;Social/e
Directeur d’école;Social/e
Directeur de camps de vacances;Social/e
Intervieweur;Social/e
Technicien de recherche, enquête et sondage;Social/e
Ludothérapeute;Social/e
Musicothérapeute;Social/e
Zoothérapeute;Social/e
Aide-éducateur en garderie;Social/e
Aide familial;Social/e
Auxiliaire familial et Social/e;Social/e
Coureur automobile;Social/e
Entraîneur d’athlètes;Social/e
Entraîneur d’équipes sportives;Social/e
Entraîneur d’équipes de sport amateur;Social/e
Ergothérapeute;Social/e
Gardien d’enfants;Social/e
Gouvernant;Social/e
Patineur artistique;Social/e
Sportif professionnel;Social/e
Préposé aux bénéficiaires;Social/e
Assistant dentaire;Social/e
Éducateur en garderie;Social/e
Enseignant au préscolaire;Social/e
Enseignant au primaire;Social/e
Infirmier auxiliaire;Social/e
Instructeur-pilote d’avion;Social/e
Orthopédagogue;Social/e
Professeur pour personnes déficientes intellectuelles;Social/e
Professeur pour personnes handicapées de la vue;Social/e
Technicien en éducation spécialisée;Social/e
Animateur de pastorale;Social/e
Animateur de vie spirituelle et d’engagement communautaire;Social/e
Aide-coiffeur;Social/e
Coiffeur;Social/e
Coiffeur styliste;Social/e
Électrolyste;Social/e
Esthéticien;Social/e
Manucure;Social/e
Poseur d’ongles et de cils;Social/e
Capitaine de banquet;Social/e
Expert en sinistres (assurances);Social/e
Instructeur d’art martial;Social/e
Instructeur de conditionnement physique aérobique;Social/e
Moniteur de camp de vacances;Social/e
Moniteur de loisirs;Social/e
Moniteur de natation;Social/e
Moniteur de ski;Social/e
Patrouilleur des pentes de ski;Social/e
Préposé au service aux chambres;Social/e
Professeur d’équitation;Social/e
Serveur;Social/e
Sommelier;Social/e
Surveillant-sauveteur de bains publics;Social/e
Technicien en loisirs;Social/e
Animateur de vie étudiante;Social/e
Conseiller en consommation;Social/e
Conseiller en réadaptation;Social/e
Conseiller en retraite et pré-retraite;Social/e
Conseiller en toxicomanie;Social/e
Directeur des services aux étudiants;Social/e
Génagogue;Social/e
Intervenant budgétaire;Social/e
Registraire de collège ou d’université;Social/e
Sexologue;Social/e
Technicien d’intervention en délinquance;Social/e
Technicien en travail Social/e;Social/e
Travailleur de rue;Social/e
Attaché politique;Social/e
Conseiller politique;Social/e
Agent syndical;Social/e
Aide pédagogique individuel;Social/e
Analyste des emplois;Social/e
Chasseur de têtes;Social/e
Conciliateur en relations de travail;Social/e
Conseiller d’orientation;Social/e
Conseiller en emploi;Social/e
Conseiller en gestion de carrière;Social/e
Conseiller en information scolaire et professionnelle;Social/e
Conseiller en ressources humaines;Social/e
Directeur d’agence de rencontres;Social/e
Directeur de funérailles;Social/e
Hôte;Social/e
Maître d’hôtel;Social/e
Médiateur;Social/e
Répartiteur dans un service des urgences;Social/e
Répartiteur de dépanneuses;Social/e
Répartiteur de taxis;Social/e
Serveur de bar;Social/e
